+-------+--------------------+--------------------+--------------------+
| Epoch |     total_loss     |      dt_loss       |     type_loss      |
+-------+--------------------+--------------------+--------------------+
|   1   | 108.79374933163382 | 20.385042439691514 | 88.40870948590013  |
|   2   | 106.37727365214684 | 17.401984329822657 | 88.97529164581336  |
|   3   | 105.56809655933075 | 17.195917789351224 | 88.37218058021358  |
|   4   | 105.4963517371683  | 16.70099765324689  | 88.79535567224409  |
|   5   | 105.13130536511657 | 16.633765282586673 | 88.49753780759802  |
|   6   | 105.19698042396475 | 16.419337423534696 |  88.7776448106641  |
|   7   | 104.55554255127709 |  16.1539085459885  | 88.40163840948047  |
|   8   | 105.1838216697662  | 16.127773612560386 | 89.05605084539282  |
|   9   | 103.31864871656558 | 16.01520269585881  | 87.30344375621243  |
|   10  |  103.301000008321  | 15.952563909130836 | 87.34843921684067  |
|   11  | 102.52425199731486 | 15.940033827569977 | 86.58422202256189  |
|   12  | 102.8841663953267  | 15.849928786690509 | 87.03423449098568  |
|   13  | 103.23241573409072 | 15.84859631261796  | 87.38382320145384  |
|   14  | 101.60416522719251 | 15.777902021823314 | 85.82626450234812  |
|   15  | 103.34566345142235 | 15.764593472686121 | 87.58107098096784  |
|   16  | 101.27342619477298 | 15.599651910054408 |  85.6737751621534  |
|   17  | 100.07014736163738 | 15.647452077382297 | 84.42269644599968  |
|   18  | 100.39730615318601 | 15.463811478897302 | 84.93349214272926  |
|   19  |  99.4147370760707  | 15.519408577713206 |  83.8953294520318  |
|   20  | 99.47138386194744  | 15.527132230346156 | 83.94424912432049  |
|   21  | 99.32900877178155  | 15.379475203974032 | 83.94953119576105  |
|   22  | 97.98549873194126  | 15.389446947196255 | 82.59605283553391  |
|   23  | 98.74212629602773  | 15.281274354205426 |  83.4608523822415  |
|   24  | 98.53129728118947  | 15.190581945927121 |  83.3407163617726  |
|   25  | 97.52548533441225  | 15.090831937433679 |  82.4346546315591  |
|   26  | 96.09362999904505  | 15.093745021289115 | 80.99988651752132  |
|   27  | 97.31349092275224  | 15.03655243214896  | 82.27693823397571  |
|   28  | 94.54800321191883  | 14.889987064718264 | 79.65802028092378  |
|   29  | 94.59478926221841  | 14.887182644597411 | 79.70760349997049  |
|   30  | 95.45876793835295  | 14.863637310421073 |  80.5951258595603  |
|   31  | 93.02841619273296  | 14.856971704871944 | 78.17144467165264  |
|   32  |  91.7142781183432  | 14.749878417075658 | 76.96439588657027  |
|   33  |  92.3425362165162  | 14.811582809682406 | 77.53095453386219  |
|   34  |  91.8294532407388  | 14.663855962006783 | 77.16559595747445  |
|   35  | 92.07538458610642  | 14.704338670712893 | 77.37104208685516  |
|   36  | 88.96275124469315  | 14.672677697665685 | 74.29007057845239  |
|   37  | 90.09739557085166  | 14.647297586908007 | 75.45009880238365  |
|   38  | 89.45447436270759  | 14.640051559695113 | 74.81442341338219  |
|   39  | 89.15582279565645  | 14.54465954331537  | 74.61116624859835  |
|   40  | 88.61148911194094  | 14.597427612538851 | 74.01406492223747  |
|   41  | 86.33933276753467  | 14.568525747035533 | 71.77080862266291  |
|   42  | 86.68979787996716  | 14.525421914502946 | 72.16437847274501  |
|   43  | 87.14523255527232  | 14.49138959543835  | 72.65384215183154  |
|   44  |  87.6244576703983  | 14.536434239385924 |  73.088020826617   |
|   45  | 85.45041459905174  | 14.61575706340346  | 70.83465692527857  |
|   46  | 84.03025993948008  | 14.599899445151875 | 69.43036307444494  |
|   47  | 83.46651842478994  | 14.573850529380506 | 68.89266805492241  |
|   48  | 84.16808837701842  | 14.541825810472597 |  69.6262616128715  |
|   49  | 82.81361122503469  | 14.550332862423796 | 68.26328199351654  |
|   50  | 83.85526937284612  | 14.509926352136736 | 69.34533740961918  |
|   51  |  83.7450030951054  | 14.523442364578555 | 69.22156274883118  |
|   52  | 81.98003042739771  | 14.51343605219396  | 67.46659219738645  |
|   53  |  82.2788338780318  | 14.531352451577687 | 67.74748169351923  |
|   54  | 81.42969510761182  | 14.452616039696348 | 66.97707910603522  |
|   55  | 80.87675231744811  | 14.467930644686778 | 66.40882640641671  |
|   56  | 82.29220291526154  | 14.491122295480384 | 67.80107862575548  |
|   57  | 80.53872930439148  | 14.48644359560487  | 66.05228778948933  |
|   58  | 80.64756848963562  | 14.358537535085413 | 66.28902974424832  |
|   59  | 80.20558880069214  | 14.515413549097838 | 65.69017844208076  |
|   60  | 80.06253433862868  |  14.4644538310775  | 65.59808076417875  |
|   61  | 78.97312792737853  | 14.424559326816281 | 64.54856523672173  |
|   62  |  79.548677261574   |  14.4062122841435  | 65.14246158931132  |
|   63  | 79.27197830886351  | 14.410243783370387 | 64.86172737123397  |
|   64  | 78.00139942845361  | 14.477282533185017 | 63.52411812984912  |
|   65  | 79.19307477480453  |  14.3854090488442  | 64.80766412379654  |
|   66  | 77.79013353593288  | 14.461137371122227 | 63.32899972288035  |
|   67  | 77.97050568650741  | 14.343604865426991 | 63.62690417107984  |
|   68  | 76.91080763837482  | 14.404431337859839 | 62.50637633863472  |
|   69  | 76.94890476129692  | 14.459613309710926 | 62.48929379935382  |
|   70  | 77.04284336508498  | 14.449548466501138 | 62.59329492286248  |
|   71  | 78.22373018666389  | 14.418194666664402 | 63.80553611993166  |
|   72  | 75.49644194482026  | 14.414173147322705 | 61.08226724389108  |
|   73  | 76.34803490794161  | 14.450561601038409 | 61.89747339358025  |
|   74  | 76.75140287919808  | 14.41894473684648  | 62.33245783716674  |
|   75  | 76.35597465164798  | 14.364773032837132 | 61.99120215634463  |
|   76  | 75.46296470800014  | 14.424087278224047 | 61.03888177156959  |
|   77  | 75.50936155752599  | 14.337895852850643 | 61.17146760158643  |
|   78  | 77.52684548319223  | 14.437737797091128 | 63.08910923970758  |
|   79  | 76.38434431651022  | 14.42938648517036  | 61.95495429754881  |
|   80  | 76.16252662464463  | 14.438420317951849 | 61.72410674711196  |
|   81  | 76.57382900102803  | 14.32890757225594  | 62.24492196630587  |
|   82  | 76.39293550849386  | 14.425822412062905 | 61.96711326978503  |
|   83  |  75.899021131437   | 14.38607581150183  |  61.5129404406079  |
|   84  |  76.0366128707766  |  14.3635254326021  | 61.673089137452855 |
|   85  | 76.53114519974687  | 14.387229026342442 | 62.143915476357684 |
|   86  | 76.10922689571738  | 14.340020499228297 | 61.76920924707449  |
|   87  |  74.8176972858684  | 14.351106091167368 | 60.466589592537254 |
|   88  | 77.37615545119894  | 14.392924489164932 |  62.983229238477   |
|   89  | 77.05466690263151  | 14.412017346222628 | 62.64264844322159  |
|   90  | 76.24267752386687  | 14.278756884543805 | 61.96392224148685  |
|   91  | 74.31901123714879  | 14.281439586732889 | 60.037571282832644 |
|   92  | 76.47686850352427  | 14.322584169466326 | 62.154283491339314 |
|   93  | 75.04063085882318  | 14.315734176445144 | 60.724898322661545 |
|   94  |  75.2786848988103  | 14.340215951636834 | 60.93846866626726  |
|   95  | 75.33686778694569  | 14.356053088694393 | 60.980814673972645 |
|   96  | 74.91797812927231  | 14.376330873497094 | 60.54164677723629  |
|   97  | 75.16033543821122  | 14.436105950060783 |  60.7242319087542  |
|   98  | 75.74901902105535  | 14.305347965185113 | 61.44367042122187  |
|   99  | 76.43229131451284  | 14.376230501941405 | 62.056058794267116 |
|  100  | 75.05439179788281  | 14.37292415824017  | 60.68146673452562  |
|  101  | 76.09933104277962  | 14.384473646364977 |  61.7148583743676  |
|  102  | 76.18719527984045  | 14.427428071509649 | 61.759767818700524 |
|  103  | 76.64627959210334  | 14.410102863978864 | 62.23617452602854  |
|  104  | 75.97718555995915  | 14.430263126290699 | 61.54692071011144  |
|  105  | 74.65486301673528  | 14.372040206297449 | 60.28282245669568  |
|  106  | 75.52155104643272  | 14.372187529806009 | 61.14936347850697  |
|  107  | 76.64593371169612  | 14.38315891589887  | 62.262774601568076 |
|  108  | 76.11420497308876  | 14.320839024202726 | 61.79336401725876  |
|  109  | 76.79077679572603  | 14.344026390836262 | 62.446749107910854 |
|  110  |  75.1580493626582  | 14.416643644837064 | 60.74140332149603  |
|  111  | 76.46113872142341  | 14.398423550442631 | 62.06271349598106  |
|  112  | 76.35719542193634  | 14.397624887116546 | 61.95957386054058  |
|  113  | 75.96176212809071  | 14.337284126481412 | 61.624477744981725 |
|  114  | 75.38268283296703  | 14.31514400270704  | 61.06753687435407  |
|  115  | 76.04017072628147  | 14.403416616134407 | 61.63675588226137  |
|  116  | 76.33146573996333  | 14.456698328717504 | 61.874766689920435 |
|  117  | 74.87011280735986  | 14.427013082728907 | 60.44310097305258  |
|  118  | 74.96461019395733  | 14.45080468633644  | 60.51380427304036  |
|  119  |  75.1147630298078  | 14.33906317381186  | 60.77569679734028  |
|  120  | 75.90483866366436  | 14.391693842005452 | 61.51314345184406  |
|  121  | 74.26487871524466  | 14.30015842874306  | 59.96472446878212  |
|  122  |  75.5529770307702  | 14.346273392289984 | 61.20670322233968  |
|  123  | 75.65422905634449  | 14.45097651834463  | 61.20325080060176  |
|  124  | 76.26626179395844  | 14.33715789771324  | 61.92910142708415  |
|  125  | 75.60701385396395  | 14.383553170034666 | 61.22346107579117  |
|  126  | 75.91743652939144  | 14.449782486107132 | 61.46765502123727  |
|  127  | 73.81948978878786  | 14.324067246026152 |  59.4954226537174  |
|  128  | 75.90637869225665  | 14.413155856598793 | 61.493221184936786 |
|  129  | 75.87348356389897  | 14.392982873864439 | 61.48049839082401  |
|  130  | 73.26005266667434  | 14.337299919400701 | 58.92275323625012  |
|  131  | 76.03075521298031  | 14.327005532024419 | 61.703749816190225 |
|  132  | 75.97816966472284  | 14.377441057953527 | 61.600732397187926 |
|  133  | 73.21325521312554  | 14.346917319632473 | 58.86633775825872  |
|  134  | 74.49748943545777  | 14.336410936105544 | 60.16108167940113  |
|  135  | 74.13878478749774  | 14.322004719175329 | 59.81678004404377  |
|  136  | 73.05748259757435  | 14.244893358345404 | 58.81258827171353  |
|  137  | 72.89852170288464  | 14.350889782720653 | 58.547630061372644 |
|  138  | 74.82078218244524  | 14.371074955150851 | 60.44970397440955  |
|  139  | 72.35314944492134  | 14.256016538394453 | 58.09713245567015  |
|  140  |  73.6701346521516  | 14.253241902500454 | 59.41689383855979  |
|  141  | 71.99016829170047  | 14.373574363541495 | 57.61659775669734  |
|  142  | 72.08944467802772  | 14.289955254880809 | 57.79949169807879  |
|  143  | 72.58291256759611  | 14.370457603396503 | 58.21245507515529  |
|  144  |  72.3578663748161  | 14.317313384873623 | 58.040552500965994 |
|  145  | 71.26065471357826  | 14.360884324272785 | 56.899771759120334 |
|  146  | 71.21445107488385  | 14.311309967385908 | 56.90314189122173  |
|  147  | 71.13278953739214  | 14.304841940782481 | 56.827945921609945 |
|  148  | 72.25353172895825  | 14.326924384845713 | 57.92660703892768  |
